#{"t_start": 1690330778.5383134, "env_id": null}
r,l,t
188.648488,52,874.722224
199.228437,59,875.736423
121.442681,19,876.104542
201.838311,74,877.411753
301.760981,115,879.348213
228.128562,76,880.637308
245.773229,98,882.340497
297.907498,194,885.641277
289.819729,112,887.528428
156.787604,40,888.2281
41.197228,201,891.713486
211.847323,71,892.944625
-22.204628,201,896.412217
216.841616,78,897.741692
286.004664,114,899.673018
140.375998,27,900.145031
214.23088,65,901.255023
93.427902,201,904.653931
156.134393,37,905.302999
208.127467,63,906.417969
241.917458,127,908.579857
256.737487,90,910.101735
81.795962,201,913.476437
126.063992,20,913.84542
99.239894,44,914.611147
215.816733,76,915.90847
186.455861,84,917.340279
167.378677,41,918.081014
43.421697,201,921.545234
118.269158,18,921.87741
49.379029,201,925.275085
217.170674,98,926.949311
229.618785,76,928.378052
213.204278,66,929.524879
280.308548,130,931.765246
243.0112,97,933.436718
299.741287,141,935.851045
296.277699,124,937.988599
230.733621,78,939.3125
249.603768,162,942.111947
115.362399,201,945.531311
180.198278,140,947.96778
210.413552,66,949.137747
166.635056,67,950.387582
145.78291,26,950.84333
210.347828,62,951.926129
228.240062,97,953.565536
194.570574,76,954.878716
244.583868,148,957.439322
47.796417,201,960.866653
229.799609,114,962.903105
322.629598,128,965.056304
127.207531,87,966.533222
208.574599,145,968.963881
121.090198,14,969.228924
124.546117,44,969.990815
-163.399254,201,973.413992
196.745008,73,974.663426
217.854193,111,976.570543
155.92384,39,977.244188
104.447261,201,980.762261
131.509441,54,981.711442
273.79027,122,983.782778
224.528964,71,984.992422
123.812676,13,985.245658
266.560579,110,987.138099
108.116169,5,987.253045
299.95946,147,989.743799
240.795617,81,991.163793
142.004665,27,991.648232
244.296344,96,993.278439
216.851686,104,995.033699
74.857655,20,995.40009
254.701256,140,997.80279
178.413158,58,998.798975
174.205994,61,999.845594
114.673281,201,1003.249866
198.46801,84,1004.680596
256.603003,120,1006.757214
140.081268,33,1007.340464
276.916044,104,1009.149734
125.392533,21,1009.535249
25.118933,201,1012.932695
192.9797,65,1014.060445
250.9602,84,1015.489299
182.57104,52,1016.380832
232.065601,82,1017.812376
207.275227,64,1018.908764
135.844084,21,1019.286698
210.517204,84,1020.728987
11.475548,201,1024.156823
63.357255,201,1027.544226
167.705203,67,1028.725635
117.703165,201,1032.112422
196.860147,58,1033.114375
221.336293,171,1035.998595
230.723179,94,1037.59469
-1462.635187,201,1041.1643
187.04596,58,1042.177387
154.849411,72,1043.405444
127.927859,24,1043.839383
132.636135,19,1044.189469
194.678892,58,1045.290787
243.588624,92,1046.809035
201.17916,55,1047.75752
123.456605,28,1048.268682
-148.192042,201,1051.625671
207.603135,58,1052.623809
154.366481,201,1055.987811
201.338501,104,1057.765529
267.80394,199,1061.132593
147.976345,39,1061.810231
199.450961,57,1062.808194
188.444394,52,1063.699963
267.355221,112,1065.61152
148.447383,36,1066.255676
224.11968,71,1067.466754
145.044148,27,1067.947565
230.784904,99,1069.698313
141.876425,26,1070.235291
306.368036,127,1072.375764
190.16647,54,1073.304064
198.953371,58,1074.335051
238.282451,94,1075.927562
168.544656,201,1079.298575
155.054971,35,1079.917172
201.002407,67,1081.074787
109.091947,99,1082.760143
237.174296,102,1084.499207
201.899415,124,1086.610697
193.509316,201,1090.015705
145.761033,62,1091.083132
139.633299,31,1091.629108
258.828351,100,1093.319951
-778.781316,201,1096.734139
207.701176,86,1098.243451
121.08317,52,1099.15834
274.104894,97,1100.820316
138.228781,82,1102.211373
229.265781,89,1103.77379
249.992514,125,1105.893736
142.465634,201,1109.258877
154.610162,31,1109.874761
181.515219,91,1111.436192
185.402528,48,1112.289581
239.628986,91,1113.867528
130.613384,201,1117.233248
206.315484,145,1119.719519
140.16439,168,1122.562922
303.673427,134,1124.843802
218.951701,113,1126.823387
140.713199,27,1127.31372
160.164645,37,1127.956804
159.899158,58,1128.979277
185.611587,48,1129.859119
185.520245,49,1130.712703
289.272652,117,1132.795396
160.311164,44,1133.577303
116.310793,10,1133.779323
276.90106,181,1136.821647
270.466841,102,1138.56392
-11.998038,201,1142.008261
147.273607,37,1142.659901
154.47359,37,1143.321649
194.521632,66,1144.455822
179.301696,50,1145.33242
181.974635,142,1147.723339
205.10324,62,1148.784433
249.163523,91,1150.348636
109.969699,40,1151.053684
261.49844,114,1153.077296
197.582091,59,1154.107033
180.060655,55,1155.053972
290.963606,148,1157.552051
271.92387,100,1159.326813
238.17233,99,1161.060683
183.12131,50,1161.925731
152.522625,37,1162.573825
185.104236,57,1163.572127
194.73354,78,1164.929734
243.638736,89,1166.4484
214.236537,73,1167.696156
236.900471,80,1169.059471
164.475613,53,1169.993684
225.079564,90,1171.524888
89.049111,50,1172.408799
242.31873,83,1173.890319
237.489831,84,1175.309755
203.186434,72,1176.542356
121.546814,24,1176.97378
219.586778,74,1178.264975
155.546824,32,1178.827981
134.835809,201,1182.27912
127.26476,15,1182.565413
167.838154,60,1183.594423
168.420705,58,1184.591706
110.359571,201,1187.975467
224.284505,78,1189.369224
295.0101,126,1191.520936
298.783264,123,1193.635202
329.166194,146,1196.114892
326.009402,146,1198.640152
291.812104,176,1201.633474
191.601588,201,1205.048126
203.540395,188,1208.277359
246.952232,82,1209.70264
180.448923,50,1210.567683
191.756904,86,1212.096754
-1070.562118,201,1215.519146
196.125679,58,1216.512167
235.21646,84,1217.937136
187.715166,56,1218.901109
149.075248,35,1219.555326
261.36338,191,1222.903373
135.943561,170,1225.7836
10.020423,201,1229.19719
-118.281844,187,1232.399523
211.308762,101,1234.132393
108.901225,9,1234.313288
244.163458,87,1235.812896
128.446278,23,1236.223157
199.420745,132,1238.462394
148.873628,74,1239.738219
321.023129,135,1242.051836
-109.567446,201,1245.491431
171.934291,49,1246.33213
228.167035,87,1247.817377
141.598277,26,1248.283485
176.527086,80,1249.734513
109.840912,13,1250.0005
283.180123,127,1252.176522
184.621789,60,1253.211512
161.06432,38,1253.872974
210.332011,67,1255.019762
300.572454,136,1257.375494
225.492261,78,1258.712653
-220.192733,201,1262.174693
124.975142,17,1262.492043
100.433079,201,1265.893463
-57.957754,201,1269.313335
178.646496,54,1270.245929
266.12951,131,1272.503957
163.879027,36,1273.136535
