#{"t_start": 1689531136.1129184, "env_id": null}
r,l,t
-19.6,10,655.215396
102.199999,58,656.218176
101.900003,34,656.850999
-18.1,64,657.951647
101.299998,43,658.732162
99.499998,127,660.909671
1.8,201,664.318584
101.399998,53,665.264014
100.100003,64,666.361736
-19.6,22,666.762952
-18.2,42,667.52758
100.499998,44,668.293586
100.499998,56,669.255418
-17.4,98,670.941811
100.299998,30,671.473185
101.699998,77,672.811299
100.999998,34,673.410258
-19.9,28,673.904795
101.499998,63,675.019607
-17.1,50,675.881261
98.099998,101,677.621664
98.999998,110,679.523305
100.399998,40,680.219584
100.599998,15,680.500701
-17.7,29,681.050306
-19.2,14,681.320133
99.299998,89,682.83163
101.299998,55,683.831231
102.099999,54,684.759287
-18.8,24,685.195205
100.999998,109,687.076092
-17.8,28,687.607946
101.800003,63,688.69119
101.199998,69,689.902707
101.699998,59,690.912985
102.299999,38,691.582685
102.199999,49,692.45995
101.999999,62,693.526148
102.999999,102,695.260049
102.099999,81,696.673116
103.399999,52,697.570728
-19.8,2,697.639111
101.899999,37,698.284447
101.099998,95,699.925304
102.599999,44,700.689268
-17.8,55,701.667713
98.799998,186,704.835299
-19.4,39,705.564154
101.499998,27,706.044683
101.599998,25,706.495886
102.699999,57,707.473429
105.499999,106,709.301041
101.500003,132,711.564176
-20.1,74,712.84679
101.899999,43,713.593377
101.800003,96,715.261266
101.799998,72,716.526252
104.099999,71,717.742861
103.699999,52,718.675159
102.499999,43,719.420502
-18.6,74,720.684629
-17.3,45,721.50387
102.299999,41,722.216675
103.299999,72,723.482337
107.799999,111,725.393567
104.799999,117,727.358722
-18.6,17,727.70658
103.699999,61,728.755355
101.799998,87,730.258699
104.099999,56,731.221884
102.899999,38,731.888879
104.199999,84,733.346223
102.499999,124,735.472929
102.199999,73,736.750819
103.599999,54,737.683615
100.299998,24,738.119848
-18.0,26,738.581203
-17.3,39,739.301023
101.500003,102,741.079348
107.899999,130,743.293154
100.299998,27,743.778872
104.099999,62,744.842195
-16.0,61,745.926846
102.499999,34,746.523875
102.999999,96,748.190797
105.799999,145,750.667524
-20.8,52,751.567073
102.599999,53,752.517753
101.399998,68,753.681687
-19.8,23,754.097862
101.499998,45,754.914188
-18.1,34,755.508212
-19.0,25,755.960256
101.999999,62,757.061718
-19.2,26,757.522202
-19.3,55,758.467305
-18.4,40,759.202398
101.899999,85,760.648275
-18.4,37,761.326824
-18.7,22,761.731204
-18.3,128,763.911292
101.999999,62,764.967829
103.799999,53,765.933129
103.399999,94,767.534018
102.899999,47,768.381463
103.199999,128,770.573891
105.599999,92,772.190597
102.399999,51,773.069615
101.699998,17,773.38711
102.199999,109,775.26832
103.599999,57,776.252984
101.199998,30,776.816789
103.299999,75,778.096446
103.099999,106,779.943761
100.999998,19,780.294074
104.699999,83,781.736473
105.799999,112,783.659507
104.199999,99,785.339627
104.599999,97,787.00715
104.999999,74,788.293666
102.199999,31,788.841919
103.799999,89,790.384932
100.199998,41,791.099352
101.199998,27,791.583035
100.299998,24,792.013719
102.699999,48,792.894867
102.899999,50,793.757923
105.499999,106,795.589467
-18.3,26,796.059199
101.799998,51,796.969346
106.499999,95,798.578671
106.099999,112,800.512315
-20.300001,3,800.595275
102.999999,81,802.029182
102.499999,76,803.321483
-17.7,44,804.120831
-19.7,3,804.205757
103.999999,55,805.15302
104.199999,138,807.5118
-14.500001,115,809.489137
-17.9,69,810.701379
102.399999,36,811.334642
104.300003,85,812.810181
102.699999,75,814.09544
-20.3,60,815.147178
101.299998,37,815.800092
101.399998,20,816.164644
101.099998,56,817.157598
98.799998,66,818.282169
100.499998,5,818.400146
102.599999,62,819.492786
103.599999,102,821.252283
104.099999,77,822.556217
102.899999,68,823.753321
105.499999,100,825.449176
-18.3,41,826.20922
103.499999,50,827.075593
101.399998,38,827.743969
-14.8,82,829.17396
103.199999,86,830.668719
-16.4,78,831.998493
-19.3,64,833.142605
103.499999,74,834.395573
103.499999,41,835.139162
103.499999,80,836.493651
105.299999,119,838.553284
-14.8,139,840.92112
100.799998,23,841.370166
-17.9,72,842.598551
102.199999,61,843.671473
-17.5,34,844.272083
99.799998,55,845.220331
100.899998,60,846.280341
-21.100001,7,846.431449
100.899998,27,846.91358
100.799998,23,847.327373
101.499998,69,848.53992
-20.100001,5,848.657073
101.499998,30,849.188913
-17.2,70,850.420383
98.699998,131,852.671096
-21.600001,11,852.887481
99.899998,65,854.004459
102.599999,32,854.56618
102.999999,111,856.475247
103.999999,91,858.055965
-17.5,64,859.188519
