#{"t_start": 1689378241.868581, "env_id": null}
r,l,t
103.399999,55,636.944759
102.599999,44,637.720768
103.299999,33,638.332396
99.699998,15,638.638276
102.399999,27,639.149264
102.799999,55,640.113975
103.499999,35,640.807206
105.299999,71,642.061913
-98.500002,30,642.589031
-98.600002,29,643.10604
102.699999,27,643.6095
99.899998,17,643.931729
101.999999,26,644.399682
104.899999,52,645.285262
104.399999,68,646.523342
105.799999,76,647.830742
102.499999,46,648.650253
104.399999,62,649.775717
100.899998,12,650.036538
-99.400002,15,650.323526
103.999999,55,651.302917
104.399999,71,652.621151
101.599998,25,653.087548
102.099999,39,653.800567
103.799999,44,654.577199
102.199999,43,655.364627
102.799999,46,656.202521
103.699999,52,657.170158
105.199999,67,658.40238
99.499998,13,658.694244
106.499999,68,659.88359
105.199999,76,661.280426
102.599999,56,662.343192
102.699999,57,663.419633
101.499998,57,664.45375
101.699998,32,665.098018
104.199999,54,666.011476
100.599998,27,666.500079
102.399999,30,667.0455
103.399999,40,667.73634
101.599998,37,668.494298
-99.000002,19,668.913487
103.099999,40,669.652716
-101.400002,16,669.964198
-98.300002,35,670.651694
101.999999,26,671.184054
102.499999,37,671.844846
105.599999,68,673.114581
101.399998,32,673.758931
-97.400001,53,674.72641
103.399999,34,675.340817
100.199998,29,675.932075
103.099999,46,676.771044
106.699999,88,678.383116
101.799998,42,679.139418
103.699999,40,679.916692
103.399999,64,681.06123
102.999999,48,681.917068
102.899999,32,682.564408
106.999999,88,684.059312
105.099999,69,685.246626
100.799998,20,685.621893
101.699998,32,686.203223
101.099998,32,686.780191
102.199999,31,687.32669
102.499999,28,687.845153
104.999999,68,689.071559
105.899999,74,690.418816
105.099999,69,691.611197
100.100003,16,691.935116
103.699999,52,692.888064
101.399998,20,693.278985
102.099999,45,694.089547
103.299999,51,695.069917
102.999999,33,695.71567
101.499998,24,696.198125
105.999999,60,697.308133
102.699999,48,698.18789
102.399999,36,698.887508
103.499999,56,699.853737
101.299998,22,700.291831
105.099999,57,701.274544
99.799998,22,701.676317
103.899999,39,702.370468
102.499999,49,703.208458
104.299999,46,704.012285
104.299999,67,705.250856
-98.800002,39,705.927958
-97.100001,29,706.463978
-96.900001,46,707.300213
103.599999,51,708.233984
105.199999,79,709.667734
101.899999,34,710.261444
103.999999,40,710.999236
100.499998,23,711.435319
103.499999,38,712.113286
101.399998,32,712.71094
105.399999,72,714.045126
98.899998,13,714.35455
107.199999,87,715.945662
104.799999,69,717.232606
101.599998,37,717.956675
100.299998,15,718.262867
102.199999,22,718.666072
102.599999,41,719.403803
104.299999,58,720.462605
103.299999,54,721.424747
102.499999,28,721.940113
103.699999,52,722.839264
99.799998,16,723.147183
106.199999,68,724.40369
105.899999,68,725.606962
103.699999,55,726.588699
99.699998,18,726.990983
-98.600002,23,727.426384
103.399999,40,728.165552
104.199999,60,729.255447
103.299999,51,730.17265
100.499998,23,730.658985
100.699998,13,730.960418
104.999999,65,732.137012
99.799998,16,732.441785
101.399998,29,732.973816
100.199998,14,733.249603
103.399999,55,734.247895
-100.200002,7,734.410836
101.799998,18,734.798055
105.099999,69,736.000907
102.199999,52,736.902212
-99.000002,10,737.112535
102.699999,36,737.838747
102.699999,45,738.677909
101.899999,28,739.228751
-100.700002,17,739.559664
103.299999,48,740.463085
101.699998,38,741.138052
102.699999,33,741.801257
102.899999,44,742.640744
-97.800001,22,743.109214
98.599998,10,743.333563
102.199999,34,743.995787
102.399999,54,744.98909
101.599998,31,745.57174
-100.500002,16,745.905505
101.499998,15,746.243022
104.399999,65,747.337309
102.900003,50,748.302537
100.599998,18,748.641942
104.099999,56,749.65506
104.199999,63,750.843249
102.399999,48,751.678163
-93.400001,84,753.108991
100.999998,28,753.707291
102.799999,49,754.606649
101.199998,24,755.073268
102.599999,50,755.963052
100.299998,18,756.317264
99.899998,23,756.833389
103.999999,61,757.926905
101.299998,28,758.459917
101.399998,20,758.829936
107.099999,92,760.505031
102.199999,31,761.195671
104.499999,66,762.356571
100.699998,31,763.003571
100.999998,40,763.745179
101.999999,41,764.468494
-97.600001,39,765.194127
102.099999,24,765.708209
102.599999,41,766.413057
101.199998,27,766.995008
101.199998,18,767.336947
102.999999,33,767.952237
103.699999,58,769.032605
102.999999,54,770.014121
-98.800002,24,770.452363
100.799998,8,770.631158
101.499998,36,771.360215
102.499999,46,772.16478
100.099998,25,772.662909
100.699998,37,773.341833
103.299999,48,774.213323
-98.200002,33,774.808953
100.399998,22,775.210707
104.599999,64,776.356599
104.099999,65,777.519611
-99.200002,29,778.052313
103.099999,31,778.648641
-97.100001,50,779.579538
103.799999,38,780.256312
103.699999,61,781.321634
103.799999,56,782.366368
101.999999,38,783.074017
106.999999,88,784.637244
105.999999,78,786.068485
103.699999,55,787.078627
101.499998,21,787.481148
-94.400001,65,788.673958
101.599998,25,789.124302
100.699998,25,789.609521
102.699999,33,790.220323
104.499999,45,791.038783
102.099999,48,791.877691
103.399999,40,792.667922
102.399999,33,793.266592
101.399998,14,793.540787
100.399998,4,793.654513
103.799999,59,794.782206
103.999999,58,795.845098
103.299999,45,796.650404
101.899999,34,797.295328
103.099999,55,798.227621
100.099998,16,798.598776
99.999998,21,799.032038
102.199999,31,799.610433
102.599999,26,800.112472
103.699999,55,801.064957
102.999999,45,801.870054
103.899999,75,803.286624
105.199999,70,804.507205
104.099999,59,805.607522
104.699999,68,806.810735
106.299999,90,808.371999
100.799998,32,809.033347
107.799999,78,810.390258
-94.600001,87,811.937235
102.699999,30,812.468552
-99.600002,16,812.775358
103.599999,45,813.581395
106.499999,86,815.014072
105.299999,65,816.12123
100.199998,29,816.670214
104.999999,53,817.606543
106.799999,77,818.971928
105.699999,75,820.358942
106.399999,106,822.144886
104.999999,80,823.611437
104.599999,64,824.756704
103.799999,65,825.947047
-99.300002,13,826.237082
101.599998,16,826.575141
103.299999,45,827.382064
104.199999,60,828.45788
105.599999,80,829.808647
103.699999,58,830.884932
101.199998,36,831.591382
102.199999,34,832.251112
102.499999,43,833.024821
101.099998,14,833.332417
100.999998,34,833.961131
102.499999,43,834.770099
100.899998,33,835.383182
101.599998,16,835.707366
-99.300002,28,836.270741
102.299999,32,836.85291
103.199999,47,837.784224
98.699998,11,838.040087
104.399999,53,838.989578
100.099998,22,839.455466
-98.000001,20,839.878121
102.899999,44,840.66478
102.399999,45,841.554138
103.999999,49,842.408048
105.099999,63,843.515732
99.799998,10,843.727367
103.399999,43,844.501699
102.899999,44,845.291146
103.499999,50,846.191084
104.499999,60,847.222468
102.999999,42,848.059102
105.899999,80,849.486443
104.099999,53,850.519078
106.699999,88,852.044432
-99.200002,32,852.623129
101.799998,36,853.251569
105.599999,77,854.618738
-100.300002,15,854.911175
100.599998,21,855.362043
101.199998,24,855.87786
100.499998,26,856.362445
104.499999,54,857.331702
106.599999,84,858.781245
106.399999,82,860.276202
101.699998,59,861.321584
103.899999,39,862.061356
105.899999,77,863.383984
99.999998,21,863.801275
103.699999,49,864.690538
99.399998,21,865.126119
-99.500002,5,865.290817
103.599999,36,865.978384
104.199999,60,867.023713
101.299998,25,867.493243
100.599998,15,867.797661
100.999998,25,868.251868
-100.200002,13,868.525195
103.599999,51,869.472111
105.199999,79,870.900516
100.999998,19,871.272475
105.099999,51,872.17682
101.299998,13,872.452448
102.499999,43,873.242663
101.799998,21,873.631691
101.599998,37,874.338227
101.299998,16,874.676776
101.399998,14,874.949283
101.299998,40,875.684531
104.999999,59,876.776636
104.599999,55,877.787285
101.999999,32,878.38248
103.399999,40,879.189363
101.299998,25,879.698015
103.399999,46,880.48949
103.799999,50,881.422595
101.499998,36,882.130688
103.799999,38,882.810363
103.299999,42,883.583504
101.299998,34,884.209513
-100.400002,11,884.452169
-96.400001,42,885.225968
102.199999,25,885.725132
-99.600002,4,885.859217
101.799998,45,886.724388
102.099999,39,887.45129
100.399998,19,887.805755
103.299999,48,888.644184
103.199999,56,889.647641
105.399999,66,890.904047
106.599999,93,892.527598
103.299999,57,893.544739
101.199998,39,894.300331
105.199999,73,895.557696
103.999999,70,896.774552
103.199999,68,898.014736
103.799999,53,899.031826
102.799999,52,899.981784
102.299999,29,900.511312
105.099999,51,901.426465
-98.800002,42,902.233263
101.999999,26,902.715654
